SAFEWAY,780-436-1854,,,Windermere,5110,Windermere Blvd,Edmonton,AB,Canada,
SAFEWAY,780-475-5905,,,Liquor Store,12807,140 Avenue,Edmonton,AB,Canada,
SAFEWAY,780-477-6923,,,Abbotsfield,3210,118 Avenue,Edmonton,AB,Canada,
SAFEWAY,780-469-9452,,,Bonnie Doon,8330,82 Avenue,Edmonton,AB,Canada,
SAFEWAY,780-487-1050,,,Callingwood,6655,178 St,Edmonton,AB,Canada,
SAFEWAY,780-466-9001,,831536503,Capilano,1062 5004,98 Avenue,Edmonton,AB,Canada,
SAFEWAY,780-477-6459,,,Coliseum,8118,118 Avenue,Edmonton,AB,Canada,
SAFEWAY,780-433-6930,,817093735,Garneau,10930,82 Avenue,Edmonton,AB,Canada,
SAFEWAY,780-490-0418,,,Grange,2534,Guardian Rd NW,Edmonton,AB,Canada,
SAFEWAY,780-430-4278,,,Heritage,2304,109 St,Edmonton,AB,Canada,
SAFEWAY,780-483-3255,,,Jasper Gates,15007,Stony Plain Rd,Edmonton,AB,Canada,
SAFEWAY,780-475-2896,,,Manning Crossing,500,Manning Crossing,Edmonton,AB,Canada,
SAFEWAY,780-486-0584,,,Meadowlark,8720,156 St,Edmonton,AB,Canada,
SAFEWAY,780-462-4424,,,Millbourne Mall,,38 Avenue & Millwoods Rd,Edmonton,AB,Canada,
SAFEWAY,780-450-8180,,,Millwoods,2331,66 St,Edmonton,AB,Canada,
SAFEWAY,780-406-6455,,,Northgate,9499,137 Avenue NW,Edmonton,AB,Canada,
SAFEWAY,780-424-1087,,,Oliver,11410,104 Avenue,Edmonton,AB,Canada,
SAFEWAY,780-377-2402,,,Palisades,12950,137 Avenue,Edmonton,AB,Canada,
SAFEWAY,780-434-6124,,,Riverbend,576,Riverbend Square,Edmonton,AB,Canada,
SAFEWAY,780-435-5132,,817093735,Southgate,100A 5015,111 Street NW,Edmonton,AB,Canada,
SAFEWAY,780-435-5132,,817093735,MGR KELSEY COLE,100A 5015,111 Street NW,Edmonton,AB,Canada,
SAFEWAY,780-486-4242,,,Terra Losa,9710,170 St,Edmonton,AB,Canada,
SAFEWAY,780-451-1860,,,Westmount Centre,601,111 Avenue,Edmonton,AB,Canada,
